SMILES,Activity_type,Activity_value,Activity_unit
CC(CCc1ccc(cc1)-c1ccc(Cl)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.0669,nM
CC(=O)c1ccc(cc1)-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.0674,nM
ONC(=O)[C@@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2ccccc2c1,KI,0.0690,nM
C[C@@](CCc1ccc(cc1)-c1ccc2OCOc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.0842,nM
ONC(=O)[C@@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2ccccc2c1,KI,0.0860,nM
C\C=C\c1ccc(cc1)N1C[C@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)OC1=O,KD,0.100,nM
C[C@@H](O)Cc1ccc(cc1)-c1ccc(cc1)N1C[C@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)OC1=O,KD,0.120,nM
C[C@@](C[C@H]1CN(C(=O)O1)c1ccc(cn1)-c1ccccc1)(C(=O)NO)S(C)(=O)=O,KD,0.120,nM
CC(CCc1ccc(cc1)-c1ccc(cc1)[N+]([O-])=O)(C(=O)NO)S(C)(=O)=O,IC50,0.120,nM
C[C@@](C[C@H]1CN(C(=O)O1)c1ccc(cc1)C1CC1)(C(=O)NO)S(C)(=O)=O,KD,0.120,nM
CC(CCc1ccc(cc1)-c1ccc(F)c(Cl)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.127,nM
CC(CCc1ccc(cc1)-c1ccc(CCCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.132,nM
C[C@@](CCc1ccc(cc1)-c1ccc(cc1)C#N)(C(=O)NO)S(C)(=O)=O,IC50,0.134,nM
CC(=O)c1ccc(cc1O)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.138,nM
Cc1cc(ccc1C#N)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.144,nM
CC(CCc1ccc(cc1)-c1ccc(OCCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.148,nM
CC(CCc1ccc(cc1)-c1cc(F)c(C#N)c(F)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.150,nM
CC(=O)c1ccc(cc1F)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.155,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)C#CC1CC1)(C(=O)NO)S(C)(=O)=O,KD,0.170,nM
CCCc1ccc(cc1)N1C[C@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)OC1=O,KD,0.170,nM
C[C@@](CCc1ccc(cc1)-c1ccc(OCCCN2CCOCC2)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.172,nM
CC(=O)c1ccc(cc1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.176,nM
C[C@@](CCc1ccc(cc1)-c1ccc(O)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.180,nM
CC(CCc1ccc(cc1)-c1cccc(F)c1F)(C(=O)NO)S(C)(=O)=O,IC50,0.185,nM
CC(O)C(=O)c1ccc(cc1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.195,nM
CC(C)(O)[C@H]1C[C@@H](C1)C#Cc1ccc(cc1)N1C[C@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)OC1=O,KD,0.200,nM
C[C@H](O)[C@H](NC(=O)c1ccc(cc1)C#Cc1ccc(CN2CCOCC2)cc1)C(=O)NO,IC50,0.200,nM
CCCc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,KD,0.200,nM
CC(CCc1ccc(cc1)-c1ccc(cc1)C(=O)CO)(C(=O)NO)S(C)(=O)=O,IC50,0.200,nM
C[C@H]([C@@H](C(=O)NO)NC(=O)c1ccc(cc1)C#CC#Cc2ccc(cc2)N)O,KI,0.200,nM
C[C@H]([C@@H](C(=O)NO)NC(=O)c1ccc(cc1)C#CC#Cc2ccc(cc2)N)O,KI,0.200,nM
CC(CCc1ccc(cc1)-c1ccc(OCCCCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.205,nM
C[C@@](C[C@H]1CN(C(=O)O1)c1ccc(Br)cc1)(C(=O)NO)S(C)(=O)=O,KD,0.210,nM
CC(CCc1ccc(cc1)-c1cccc(Cl)c1Cl)(C(=O)NO)S(C)(=O)=O,IC50,0.213,nM
CC(CCc1ccc(cc1)-c1ccc(cc1F)C#N)(C(=O)NO)S(C)(=O)=O,IC50,0.232,nM
CC(CCc1ccc(c(F)c1)-c1ccc(F)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.235,nM
COc1ccc(cn1)-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.237,nM
C[C@@](CCc1ccc(cc1)-c1ccc(cc1)C(=O)CO)(C(=O)NO)S(C)(=O)=O,IC50,0.238,nM
C[C@@](CCc1ccc(cc1)-c1cnc2ccccc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.240,nM
Cc1cc(CCC(C)(C(=O)NO)S(C)(=O)=O)ccc1-c1ccc(cc1)C#N,IC50,0.241,nM
Cc1ccc(cc1C)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.242,nM
CC(=O)c1ccc(cn1)-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.246,nM
CC(CCc1ccc(cc1F)-c1ccccc1)(C(=O)NO)S(C)(=O)=O,IC50,0.260,nM
C[C@@](CCc1ccc(cc1)-c1ccc2C(=O)NCc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.266,nM
Cc1cc(ccc1-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1)C#N,IC50,0.266,nM
CC(C)(O)C(=O)c1ccc(cc1)-c1ccc(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.278,nM
CC(CCc1ccc(cc1)C1=CCCCCC1)(C(=O)NO)S(C)(=O)=O,IC50,0.290,nM
CC(CCc1ccc(cc1)-c1ccc2[nH]ccc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.295,nM
CC(CCc1ccc(cc1)-c1ccc(cc1)N1CCOCC1)(C(=O)NO)S(C)(=O)=O,IC50,0.295,nM
CC(C)(O)[C@@H](NC(=O)N1CCN(CC1)c1ccc(cc1)C#Cc1ccccc1)C(=O)NO,IC50,0.300,nM
C[C@@H](O)[C@H](NC1CCCc2cc(ccc12)C#Cc1ccc(CN2CCOCC2)cc1)C(=O)NO,IC50,0.300,nM
C\C=C\c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,KD,0.300,nM
CC(CCc1ccc(c(F)c1)-c1ccc(O)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.306,nM
CC(C)(CCc1ccc(cc1)-c1ccccc1)C(=O)NO,IC50,0.310,nM
CC(CCc1ccc(cc1)-c1ccc(cc1)-c1cc(CO)no1)(C(=O)NO)S(C)(=O)=O,IC50,0.320,nM
CC(CCc1ccc(cc1)C1=CCSCC1)(C(=O)NO)S(C)(=O)=O,IC50,0.320,nM
CC(CCc1ccc(Oc2cccc(F)c2F)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.325,nM
CC(CCc1ccc(cc1)-c1ccc(C#N)c(Cl)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.329,nM
CC(CCc1ccc(cc1)-c1ccc(CCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.331,nM
CC(CCc1ccc(cc1)-c1ccc(O)c(F)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.335,nM
CC(CCc1ccc(cc1)-c1cccc(F)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.335,nM
Cc1cc(ccc1CCC(C)(C(=O)NO)S(C)(=O)=O)-c1ccc(F)cc1,IC50,0.337,nM
CCCc1cc(cc(c1OC)OC)C2=N[C@H](CO2)C(=O)NO,KI,0.340,nM
CC(=O)c1ccc(cn1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)c(F)c1,IC50,0.348,nM
CC(C)Cc1ccc(cc1)-c1ccc(CCC(C)(C(=O)NO)S(C)(=O)=O)cc1,IC50,0.356,nM
CC(CCc1ccc(cc1)-c1cccc(Cl)c1)(C(=O)NO)S(C)(=O)=O,IC50,0.364,nM
C[C@@](CCc1ccc(cc1)-c1ccc2CNC(=O)c2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.374,nM
Cc1cc(no1)[C@H](O)[C@](C)(OCc1ccc(cc1)-c1ccccc1)C(=O)NO,IC50,0.376,nM
CC(CCc1ccc(OCc2ccccc2)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.386,nM
CC(CCc1ccc(cc1F)-c1ccc(cc1)C(=O)CO)(C(=O)NO)S(C)(=O)=O,IC50,0.387,nM
CC(CCc1ccc(cc1)-c1ccc(OCCCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.388,nM
CC(CCc1ccc(OCc2ccc(Cl)cc2F)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.393,nM
